Topology: ( 300 Nodes, 300 Edges )
73 483.00 293.00 5 5 -1 RT_NONE 
74 104.00 929.00 4 4 -1 RT_NONE 
75 836.00 941.00 2 2 -1 RT_NONE 
76 423.00 455.00 4 4 -1 RT_NONE 
77 969.00 588.00 2 2 -1 RT_NONE 
78 147.00 189.00 4 4 -1 RT_NONE 
79 753.00 342.00 2 2 -1 RT_NONE 
80 556.00 727.00 1 1 -1 RT_NONE 
81 210.00 468.00 2 2 -1 RT_NONE 
82 500.00 417.00 2 2 -1 RT_NONE 
83 814.00 546.00 3 3 -1 RT_NONE 
84 938.00 287.00 5 5 -1 RT_NONE 
85 992.00 733.00 2 2 -1 RT_NONE 
86 578.00 455.00 2 2 -1 RT_NONE 
87 797.00 836.00 2 2 -1 RT_NONE 
88 38.00 739.00 1 1 -1 RT_NONE 
89 681.00 711.00 3 3 -1 RT_NONE 
90 810.00 137.00 1 1 -1 RT_NONE 
91 988.00 15.00 2 2 -1 RT_NONE 
92 984.00 364.00 3 3 -1 RT_NONE 
93 688.00 743.00 5 5 -1 RT_NONE 
94 533.00 22.00 1 1 -1 RT_NONE 
95 375.00 639.00 1 1 -1 RT_NONE 
96 702.00 550.00 1 1 -1 RT_NONE 
97 7.00 105.00 3 3 -1 RT_NONE 
98 4.00 815.00 1 1 -1 RT_NONE 
99 812.00 708.00 1 1 -1 RT_NONE 
100 591.00 308.00 3 3 -1 RT_NONE 
101 737.00 787.00 2 2 -1 RT_NONE 
102 536.00 66.00 3 3 -1 RT_NONE 
103 641.00 502.00 2 2 -1 RT_NONE 
104 128.00 217.00 2 2 -1 RT_NONE 
105 556.00 702.00 1 1 -1 RT_NONE 
106 95.00 687.00 3 3 -1 RT_NONE 
107 345.00 968.00 1 1 -1 RT_NONE 
108 107.00 527.00 2 2 -1 RT_NONE 
109 935.00 847.00 1 1 -1 RT_NONE 
110 345.00 771.00 3 3 -1 RT_NONE 
111 5.00 194.00 1 1 -1 RT_NONE 
112 977.00 618.00 2 2 -1 RT_NONE 
113 92.00 741.00 2 2 -1 RT_NONE 
114 792.00 37.00 1 1 -1 RT_NONE 
115 271.00 308.00 2 2 -1 RT_NONE 
116 734.00 507.00 3 3 -1 RT_NONE 
117 560.00 980.00 1 1 -1 RT_NONE 
118 712.00 122.00 1 1 -1 RT_NONE 
119 339.00 704.00 2 2 -1 RT_NONE 
120 940.00 682.00 1 1 -1 RT_NONE 
121 3.00 241.00 1 1 -1 RT_NONE 
122 666.00 99.00 3 3 -1 RT_NONE 
123 540.00 877.00 3 3 -1 RT_NONE 
124 461.00 972.00 2 2 -1 RT_NONE 
125 23.00 637.00 1 1 -1 RT_NONE 
126 230.00 239.00 1 1 -1 RT_NONE 
127 2.00 806.00 1 1 -1 RT_NONE 
128 71.00 134.00 1 1 -1 RT_NONE 
129 413.00 38.00 2 2 -1 RT_NONE 
130 697.00 646.00 1 1 -1 RT_NONE 
131 967.00 972.00 2 2 -1 RT_NONE 
132 658.00 123.00 2 2 -1 RT_NONE 
133 584.00 689.00 1 1 -1 RT_NONE 
134 287.00 143.00 2 2 -1 RT_NONE 
135 319.00 187.00 2 2 -1 RT_NONE 
136 973.00 867.00 1 1 -1 RT_NONE 
137 550.00 323.00 1 1 -1 RT_NONE 
138 799.00 493.00 3 3 -1 RT_NONE 
139 808.00 367.00 2 2 -1 RT_NONE 
140 686.00 760.00 1 1 -1 RT_NONE 
141 700.00 710.00 2 2 -1 RT_NONE 
142 838.00 690.00 2 2 -1 RT_NONE 
143 400.00 846.00 1 1 -1 RT_NONE 
144 709.00 553.00 1 1 -1 RT_NONE 
145 919.00 168.00 1 1 -1 RT_NONE 
146 558.00 817.00 2 2 -1 RT_NONE 
147 187.00 79.00 2 2 -1 RT_NONE 
148 196.00 184.00 2 2 -1 RT_NONE 
149 644.00 729.00 3 3 -1 RT_NONE 
150 493.00 637.00 2 2 -1 RT_NONE 
151 896.00 270.00 1 1 -1 RT_NONE 
152 961.00 843.00 1 1 -1 RT_NONE 
153 164.00 704.00 2 2 -1 RT_NONE 
154 775.00 335.00 1 1 -1 RT_NONE 
155 176.00 288.00 1 1 -1 RT_NONE 
156 201.00 213.00 1 1 -1 RT_NONE 
157 104.00 482.00 1 1 -1 RT_NONE 
158 739.00 790.00 2 2 -1 RT_NONE 
159 869.00 874.00 1 1 -1 RT_NONE 
160 646.00 141.00 1 1 -1 RT_NONE 
161 251.00 397.00 2 2 -1 RT_NONE 
162 538.00 578.00 3 3 -1 RT_NONE 
163 392.00 417.00 1 1 -1 RT_NONE 
164 545.00 229.00 3 3 -1 RT_NONE 
165 857.00 485.00 2 2 -1 RT_NONE 
166 367.00 887.00 1 1 -1 RT_NONE 
167 482.00 139.00 3 3 -1 RT_NONE 
168 81.00 500.00 1 1 -1 RT_NONE 
169 262.00 36.00 2 2 -1 RT_NONE 
170 419.00 944.00 1 1 -1 RT_NONE 
171 270.00 911.00 3 3 -1 RT_NONE 
172 695.00 356.00 1 1 -1 RT_NONE 
173 153.00 732.00 1 1 -1 RT_NONE 
174 897.00 321.00 2 2 -1 RT_NONE 
175 490.00 465.00 1 1 -1 RT_NONE 
176 913.00 262.00 2 2 -1 RT_NONE 
177 458.00 799.00 1 1 -1 RT_NONE 
178 480.00 555.00 1 1 -1 RT_NONE 
179 703.00 554.00 2 2 -1 RT_NONE 
180 661.00 380.00 1 1 -1 RT_NONE 
181 296.00 523.00 1 1 -1 RT_NONE 
182 798.00 497.00 2 2 -1 RT_NONE 
183 255.00 560.00 1 1 -1 RT_NONE 
184 129.00 775.00 1 1 -1 RT_NONE 
185 106.00 84.00 2 2 -1 RT_NONE 
186 357.00 846.00 1 1 -1 RT_NONE 
187 85.00 849.00 3 3 -1 RT_NONE 
188 720.00 884.00 1 1 -1 RT_NONE 
189 87.00 874.00 1 1 -1 RT_NONE 
190 508.00 775.00 2 2 -1 RT_NONE 
191 623.00 504.00 2 2 -1 RT_NONE 
192 8.00 11.00 1 1 -1 RT_NONE 
193 581.00 854.00 2 2 -1 RT_NONE 
194 156.00 656.00 1 1 -1 RT_NONE 
195 639.00 87.00 1 1 -1 RT_NONE 
196 293.00 843.00 1 1 -1 RT_NONE 
197 861.00 303.00 1 1 -1 RT_NONE 
198 785.00 195.00 1 1 -1 RT_NONE 
199 386.00 850.00 1 1 -1 RT_NONE 
200 522.00 448.00 1 1 -1 RT_NONE 
201 784.00 196.00 2 2 -1 RT_NONE 
202 486.00 644.00 1 1 -1 RT_NONE 
203 408.00 296.00 1 1 -1 RT_NONE 
204 589.00 816.00 1 1 -1 RT_NONE 
205 79.00 682.00 1 1 -1 RT_NONE 
206 416.00 745.00 3 3 -1 RT_NONE 
207 340.00 190.00 1 1 -1 RT_NONE 
208 503.00 524.00 2 2 -1 RT_NONE 
209 851.00 589.00 4 4 -1 RT_NONE 
210 514.00 468.00 2 2 -1 RT_NONE 
211 862.00 124.00 1 1 -1 RT_NONE 
212 527.00 733.00 2 2 -1 RT_NONE 
213 44.00 696.00 1 1 -1 RT_NONE 
214 373.00 633.00 3 3 -1 RT_NONE 
215 725.00 518.00 1 1 -1 RT_NONE 
216 124.00 359.00 1 1 -1 RT_NONE 
217 185.00 495.00 2 2 -1 RT_NONE 
218 869.00 20.00 1 1 -1 RT_NONE 
219 446.00 524.00 1 1 -1 RT_NONE 
220 502.00 916.00 1 1 -1 RT_NONE 
221 733.00 561.00 1 1 -1 RT_NONE 
222 524.00 620.00 1 1 -1 RT_NONE 
223 807.00 601.00 1 1 -1 RT_NONE 
224 591.00 230.00 2 2 -1 RT_NONE 
225 738.00 213.00 3 3 -1 RT_NONE 
226 619.00 279.00 2 2 -1 RT_NONE 
227 710.00 535.00 1 1 -1 RT_NONE 
228 956.00 324.00 1 1 -1 RT_NONE 
229 49.00 735.00 1 1 -1 RT_NONE 
230 95.00 989.00 1 1 -1 RT_NONE 
231 181.00 573.00 1 1 -1 RT_NONE 
232 723.00 144.00 2 2 -1 RT_NONE 
233 766.00 590.00 1 1 -1 RT_NONE 
234 644.00 96.00 1 1 -1 RT_NONE 
235 552.00 341.00 1 1 -1 RT_NONE 
236 193.00 91.00 2 2 -1 RT_NONE 
237 430.00 835.00 2 2 -1 RT_NONE 
238 40.00 201.00 1 1 -1 RT_NONE 
239 34.00 511.00 1 1 -1 RT_NONE 
240 172.00 872.00 2 2 -1 RT_NONE 
241 958.00 456.00 1 1 -1 RT_NONE 
242 585.00 209.00 1 1 -1 RT_NONE 
243 839.00 940.00 2 2 -1 RT_NONE 
244 459.00 506.00 1 1 -1 RT_NONE 
245 959.00 648.00 2 2 -1 RT_NONE 
246 317.00 146.00 1 1 -1 RT_NONE 
247 324.00 147.00 1 1 -1 RT_NONE 
248 738.00 406.00 1 1 -1 RT_NONE 
249 282.00 780.00 1 1 -1 RT_NONE 
250 743.00 350.00 1 1 -1 RT_NONE 
251 640.00 345.00 1 1 -1 RT_NONE 
252 326.00 100.00 1 1 -1 RT_NONE 
253 506.00 723.00 2 2 -1 RT_NONE 
254 151.00 689.00 1 1 -1 RT_NONE 
255 794.00 167.00 1 1 -1 RT_NONE 
256 645.00 771.00 1 1 -1 RT_NONE 
257 496.00 374.00 1 1 -1 RT_NONE 
258 471.00 965.00 2 2 -1 RT_NONE 
259 938.00 241.00 1 1 -1 RT_NONE 
260 617.00 379.00 1 1 -1 RT_NONE 
261 309.00 297.00 2 2 -1 RT_NONE 
262 170.00 321.00 1 1 -1 RT_NONE 
263 907.00 895.00 1 1 -1 RT_NONE 
264 419.00 951.00 1 1 -1 RT_NONE 
265 751.00 189.00 2 2 -1 RT_NONE 
266 740.00 557.00 1 1 -1 RT_NONE 
267 503.00 342.00 1 1 -1 RT_NONE 
268 555.00 245.00 1 1 -1 RT_NONE 
269 85.00 169.00 1 1 -1 RT_NONE 
270 988.00 895.00 1 1 -1 RT_NONE 
271 464.00 185.00 1 1 -1 RT_NONE 
272 337.00 937.00 1 1 -1 RT_NONE 
273 881.00 528.00 1 1 -1 RT_NONE 
274 392.00 30.00 1 1 -1 RT_NONE 
275 346.00 952.00 2 2 -1 RT_NONE 
276 899.00 769.00 2 2 -1 RT_NONE 
277 359.00 724.00 1 1 -1 RT_NONE 
278 11.00 711.00 1 1 -1 RT_NONE 
279 761.00 878.00 1 1 -1 RT_NONE 
280 220.00 939.00 1 1 -1 RT_NONE 
281 682.00 828.00 1 1 -1 RT_NONE 
282 711.00 137.00 1 1 -1 RT_NONE 
283 498.00 62.00 1 1 -1 RT_NONE 
284 45.00 937.00 1 1 -1 RT_NONE 
285 578.00 114.00 1 1 -1 RT_NONE 
286 995.00 877.00 1 1 -1 RT_NONE 
287 936.00 319.00 1 1 -1 RT_NONE 
288 28.00 199.00 1 1 -1 RT_NONE 
289 629.00 262.00 1 1 -1 RT_NONE 
290 352.00 800.00 1 1 -1 RT_NONE 
291 228.00 671.00 1 1 -1 RT_NONE 
292 328.00 322.00 1 1 -1 RT_NONE 
293 251.00 326.00 1 1 -1 RT_NONE 
294 663.00 720.00 1 1 -1 RT_NONE 
295 268.00 956.00 1 1 -1 RT_NONE 
296 839.00 480.00 1 1 -1 RT_NONE 
297 275.00 625.00 1 1 -1 RT_NONE 
298 974.00 477.00 1 1 -1 RT_NONE 
299 634.00 119.00 1 1 -1 RT_NONE 

Edges: (300):
0 1 0 668.32 2.23 -1.00 -1 -1 E_RT_NONE U
1 2 0 198.80 0.66 -1.00 -1 -1 E_RT_NONE U
2 3 1 366.90 1.22 -1.00 -1 -1 E_RT_NONE U
3 4 1 613.31 2.05 -1.00 -1 -1 E_RT_NONE U
4 5 4 539.85 1.80 -1.00 -1 -1 E_RT_NONE U
5 6 0 250.57 0.84 -1.00 -1 -1 E_RT_NONE U
6 7 0 437.77 1.46 -1.00 -1 -1 E_RT_NONE U
7 8 0 101.26 0.34 -1.00 -1 -1 E_RT_NONE U
8 9 8 134.81 0.45 -1.00 -1 -1 E_RT_NONE U
9 10 8 166.38 0.55 -1.00 -1 -1 E_RT_NONE U
10 11 0 275.28 0.92 -1.00 -1 -1 E_RT_NONE U
11 12 5 66.61 0.22 -1.00 -1 -1 E_RT_NONE U
12 13 10 253.31 0.84 -1.00 -1 -1 E_RT_NONE U
13 14 12 92.13 0.31 -1.00 -1 -1 E_RT_NONE U
14 15 5 346.01 1.15 -1.00 -1 -1 E_RT_NONE U
15 16 11 382.54 1.28 -1.00 -1 -1 E_RT_NONE U
16 17 3 187.52 0.63 -1.00 -1 -1 E_RT_NONE U
17 18 1 179.55 0.60 -1.00 -1 -1 E_RT_NONE U
18 19 10 188.22 0.63 -1.00 -1 -1 E_RT_NONE U
19 20 0 189.08 0.63 -1.00 -1 -1 E_RT_NONE U
20 21 0 323.82 1.08 -1.00 -1 -1 E_RT_NONE U
21 22 12 315.15 1.05 -1.00 -1 -1 E_RT_NONE U
22 23 4 315.01 1.05 -1.00 -1 -1 E_RT_NONE U
23 24 21 675.00 2.25 -1.00 -1 -1 E_RT_NONE U
24 25 13 161.28 0.54 -1.00 -1 -1 E_RT_NONE U
25 26 17 206.81 0.69 -1.00 -1 -1 E_RT_NONE U
26 27 26 143.18 0.48 -1.00 -1 -1 E_RT_NONE U
27 28 1 200.17 0.67 -1.00 -1 -1 E_RT_NONE U
28 29 17 487.62 1.63 -1.00 -1 -1 E_RT_NONE U
29 30 24 244.97 0.82 -1.00 -1 -1 E_RT_NONE U
30 31 10 609.59 2.03 -1.00 -1 -1 E_RT_NONE U
31 32 21 283.10 0.94 -1.00 -1 -1 E_RT_NONE U
32 33 14 269.31 0.90 -1.00 -1 -1 E_RT_NONE U
33 34 20 132.85 0.44 -1.00 -1 -1 E_RT_NONE U
34 35 29 418.33 1.40 -1.00 -1 -1 E_RT_NONE U
35 36 6 481.39 1.61 -1.00 -1 -1 E_RT_NONE U
36 37 17 256.44 0.86 -1.00 -1 -1 E_RT_NONE U
37 38 33 93.56 0.31 -1.00 -1 -1 E_RT_NONE U
38 39 18 137.06 0.46 -1.00 -1 -1 E_RT_NONE U
39 40 12 90.01 0.30 -1.00 -1 -1 E_RT_NONE U
40 41 38 243.51 0.81 -1.00 -1 -1 E_RT_NONE U
41 42 36 360.21 1.20 -1.00 -1 -1 E_RT_NONE U
42 43 8 257.47 0.86 -1.00 -1 -1 E_RT_NONE U
43 44 27 16.55 0.06 -1.00 -1 -1 E_RT_NONE U
44 45 2 160.72 0.54 -1.00 -1 -1 E_RT_NONE U
45 46 32 229.22 0.76 -1.00 -1 -1 E_RT_NONE U
46 47 5 244.38 0.82 -1.00 -1 -1 E_RT_NONE U
47 48 0 440.84 1.47 -1.00 -1 -1 E_RT_NONE U
48 49 46 250.41 0.84 -1.00 -1 -1 E_RT_NONE U
49 50 31 125.03 0.42 -1.00 -1 -1 E_RT_NONE U
50 51 11 153.18 0.51 -1.00 -1 -1 E_RT_NONE U
51 52 10 313.85 1.05 -1.00 -1 -1 E_RT_NONE U
52 53 19 410.22 1.37 -1.00 -1 -1 E_RT_NONE U
53 54 23 18.38 0.06 -1.00 -1 -1 E_RT_NONE U
54 55 18 359.44 1.20 -1.00 -1 -1 E_RT_NONE U
55 56 10 144.31 0.48 -1.00 -1 -1 E_RT_NONE U
56 57 22 36.06 0.12 -1.00 -1 -1 E_RT_NONE U
57 58 40 137.84 0.46 -1.00 -1 -1 E_RT_NONE U
58 59 46 330.13 1.10 -1.00 -1 -1 E_RT_NONE U
59 60 54 349.59 1.17 -1.00 -1 -1 E_RT_NONE U
60 61 6 440.09 1.47 -1.00 -1 -1 E_RT_NONE U
61 62 31 44.27 0.15 -1.00 -1 -1 E_RT_NONE U
62 63 54 181.53 0.61 -1.00 -1 -1 E_RT_NONE U
63 64 22 82.57 0.28 -1.00 -1 -1 E_RT_NONE U
64 65 28 145.52 0.49 -1.00 -1 -1 E_RT_NONE U
65 66 41 138.41 0.46 -1.00 -1 -1 E_RT_NONE U
66 67 35 112.43 0.38 -1.00 -1 -1 E_RT_NONE U
67 68 67 95.27 0.32 -1.00 -1 -1 E_RT_NONE U
68 69 41 147.32 0.49 -1.00 -1 -1 E_RT_NONE U
69 70 69 345.05 1.15 -1.00 -1 -1 E_RT_NONE U
70 71 9 345.65 1.15 -1.00 -1 -1 E_RT_NONE U
71 72 23 39.82 0.13 -1.00 -1 -1 E_RT_NONE U
72 73 31 238.77 0.80 -1.00 -1 -1 E_RT_NONE U
73 74 16 77.49 0.26 -1.00 -1 -1 E_RT_NONE U
74 75 15 143.40 0.48 -1.00 -1 -1 E_RT_NONE U
75 76 69 205.24 0.68 -1.00 -1 -1 E_RT_NONE U
76 77 23 274.45 0.92 -1.00 -1 -1 E_RT_NONE U
77 78 70 62.51 0.21 -1.00 -1 -1 E_RT_NONE U
78 79 54 52.50 0.18 -1.00 -1 -1 E_RT_NONE U
79 80 74 495.08 1.65 -1.00 -1 -1 E_RT_NONE U
80 81 26 101.91 0.34 -1.00 -1 -1 E_RT_NONE U
81 82 41 277.60 0.93 -1.00 -1 -1 E_RT_NONE U
82 83 33 103.74 0.35 -1.00 -1 -1 E_RT_NONE U
83 84 69 400.00 1.33 -1.00 -1 -1 E_RT_NONE U
84 85 12 183.08 0.61 -1.00 -1 -1 E_RT_NONE U
85 86 54 229.05 0.76 -1.00 -1 -1 E_RT_NONE U
86 87 83 290.50 0.97 -1.00 -1 -1 E_RT_NONE U
87 88 3 372.13 1.24 -1.00 -1 -1 E_RT_NONE U
88 89 41 537.89 1.79 -1.00 -1 -1 E_RT_NONE U
89 90 30 167.61 0.56 -1.00 -1 -1 E_RT_NONE U
90 91 30 49.24 0.16 -1.00 -1 -1 E_RT_NONE U
91 92 82 486.89 1.62 -1.00 -1 -1 E_RT_NONE U
92 93 14 111.32 0.37 -1.00 -1 -1 E_RT_NONE U
93 94 59 352.24 1.17 -1.00 -1 -1 E_RT_NONE U
94 95 21 114.48 0.38 -1.00 -1 -1 E_RT_NONE U
95 96 12 159.85 0.53 -1.00 -1 -1 E_RT_NONE U
96 97 8 726.70 2.42 -1.00 -1 -1 E_RT_NONE U
97 98 2 258.10 0.86 -1.00 -1 -1 E_RT_NONE U
98 99 87 128.88 0.43 -1.00 -1 -1 E_RT_NONE U
99 100 31 166.60 0.56 -1.00 -1 -1 E_RT_NONE U
100 101 75 183.08 0.61 -1.00 -1 -1 E_RT_NONE U
101 102 39 129.69 0.43 -1.00 -1 -1 E_RT_NONE U
102 103 84 366.65 1.22 -1.00 -1 -1 E_RT_NONE U
103 104 26 176.48 0.59 -1.00 -1 -1 E_RT_NONE U
104 105 43 107.35 0.36 -1.00 -1 -1 E_RT_NONE U
105 106 6 270.69 0.90 -1.00 -1 -1 E_RT_NONE U
106 107 49 257.11 0.86 -1.00 -1 -1 E_RT_NONE U
107 108 29 159.73 0.53 -1.00 -1 -1 E_RT_NONE U
108 109 12 234.05 0.78 -1.00 -1 -1 E_RT_NONE U
109 110 106 263.73 0.88 -1.00 -1 -1 E_RT_NONE U
110 111 26 241.03 0.80 -1.00 -1 -1 E_RT_NONE U
111 112 57 410.65 1.37 -1.00 -1 -1 E_RT_NONE U
112 113 13 28.30 0.09 -1.00 -1 -1 E_RT_NONE U
113 114 31 170.80 0.57 -1.00 -1 -1 E_RT_NONE U
114 115 97 333.02 1.11 -1.00 -1 -1 E_RT_NONE U
115 116 84 300.03 1.00 -1.00 -1 -1 E_RT_NONE U
116 117 86 525.31 1.75 -1.00 -1 -1 E_RT_NONE U
117 118 66 57.56 0.19 -1.00 -1 -1 E_RT_NONE U
118 119 6 102.83 0.34 -1.00 -1 -1 E_RT_NONE U
119 120 112 73.93 0.25 -1.00 -1 -1 E_RT_NONE U
120 121 78 153.10 0.51 -1.00 -1 -1 E_RT_NONE U
121 122 78 526.75 1.76 -1.00 -1 -1 E_RT_NONE U
122 123 110 221.95 0.74 -1.00 -1 -1 E_RT_NONE U
123 124 13 448.45 1.50 -1.00 -1 -1 E_RT_NONE U
124 125 108 138.41 0.46 -1.00 -1 -1 E_RT_NONE U
125 126 18 263.89 0.88 -1.00 -1 -1 E_RT_NONE U
126 127 21 443.07 1.48 -1.00 -1 -1 E_RT_NONE U
127 128 104 100.69 0.34 -1.00 -1 -1 E_RT_NONE U
128 129 76 417.12 1.39 -1.00 -1 -1 E_RT_NONE U
129 130 25 512.00 1.71 -1.00 -1 -1 E_RT_NONE U
130 131 123 437.44 1.46 -1.00 -1 -1 E_RT_NONE U
131 132 42 110.82 0.37 -1.00 -1 -1 E_RT_NONE U
132 133 123 193.08 0.64 -1.00 -1 -1 E_RT_NONE U
133 134 17 185.78 0.62 -1.00 -1 -1 E_RT_NONE U
134 135 65 98.95 0.33 -1.00 -1 -1 E_RT_NONE U
135 136 89 331.06 1.10 -1.00 -1 -1 E_RT_NONE U
136 137 76 183.17 0.61 -1.00 -1 -1 E_RT_NONE U
137 138 132 395.96 1.32 -1.00 -1 -1 E_RT_NONE U
138 139 33 83.82 0.28 -1.00 -1 -1 E_RT_NONE U
139 140 64 162.50 0.54 -1.00 -1 -1 E_RT_NONE U
140 141 93 35.11 0.12 -1.00 -1 -1 E_RT_NONE U
141 142 85 159.89 0.53 -1.00 -1 -1 E_RT_NONE U
142 143 71 256.64 0.86 -1.00 -1 -1 E_RT_NONE U
143 144 92 333.69 1.11 -1.00 -1 -1 E_RT_NONE U
144 145 139 227.86 0.76 -1.00 -1 -1 E_RT_NONE U
145 146 93 149.59 0.50 -1.00 -1 -1 E_RT_NONE U
146 147 36 117.00 0.39 -1.00 -1 -1 E_RT_NONE U
147 148 65 220.66 0.74 -1.00 -1 -1 E_RT_NONE U
148 149 5 154.21 0.51 -1.00 -1 -1 E_RT_NONE U
149 150 55 534.00 1.78 -1.00 -1 -1 E_RT_NONE U
150 151 149 523.63 1.75 -1.00 -1 -1 E_RT_NONE U
151 152 64 264.75 0.88 -1.00 -1 -1 E_RT_NONE U
152 153 19 100.42 0.33 -1.00 -1 -1 E_RT_NONE U
153 154 4 278.73 0.93 -1.00 -1 -1 E_RT_NONE U
154 155 27 249.02 0.83 -1.00 -1 -1 E_RT_NONE U
155 156 70 32.98 0.11 -1.00 -1 -1 E_RT_NONE U
156 157 150 418.74 1.40 -1.00 -1 -1 E_RT_NONE U
157 158 101 3.61 0.01 -1.00 -1 -1 E_RT_NONE U
158 159 141 235.49 0.79 -1.00 -1 -1 E_RT_NONE U
159 160 31 55.00 0.18 -1.00 -1 -1 E_RT_NONE U
160 161 54 542.41 1.81 -1.00 -1 -1 E_RT_NONE U
161 162 93 222.99 0.74 -1.00 -1 -1 E_RT_NONE U
162 163 161 142.41 0.48 -1.00 -1 -1 E_RT_NONE U
163 164 162 349.07 1.16 -1.00 -1 -1 E_RT_NONE U
164 165 138 58.55 0.20 -1.00 -1 -1 E_RT_NONE U
165 166 19 372.65 1.24 -1.00 -1 -1 E_RT_NONE U
166 167 122 188.30 0.63 -1.00 -1 -1 E_RT_NONE U
167 168 27 34.01 0.11 -1.00 -1 -1 E_RT_NONE U
168 169 28 361.88 1.21 -1.00 -1 -1 E_RT_NONE U
169 170 0 132.94 0.44 -1.00 -1 -1 E_RT_NONE U
170 171 74 166.97 0.56 -1.00 -1 -1 E_RT_NONE U
171 172 63 197.73 0.66 -1.00 -1 -1 E_RT_NONE U
172 173 171 213.85 0.71 -1.00 -1 -1 E_RT_NONE U
173 174 165 168.81 0.56 -1.00 -1 -1 E_RT_NONE U
174 175 174 431.72 1.44 -1.00 -1 -1 E_RT_NONE U
175 176 102 424.91 1.42 -1.00 -1 -1 E_RT_NONE U
176 177 8 217.08 0.72 -1.00 -1 -1 E_RT_NONE U
177 178 103 169.50 0.57 -1.00 -1 -1 E_RT_NONE U
178 179 138 113.74 0.38 -1.00 -1 -1 E_RT_NONE U
179 180 164 190.41 0.64 -1.00 -1 -1 E_RT_NONE U
180 181 110 252.79 0.84 -1.00 -1 -1 E_RT_NONE U
181 182 84 252.39 0.84 -1.00 -1 -1 E_RT_NONE U
